"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: corpus","Param: fixedHighBits","Param: n","Param: prefixLength"
"edu.neu.coe.huskySort.sort.huskySort.AdversarialSortBenchmarks.collapsedBitsDualPivotQuicksort","avgt",1,10,30.428561,0.472817,"ms/op",,0,200000,
"edu.neu.coe.huskySort.sort.huskySort.AdversarialSortBenchmarks.collapsedBitsDualPivotQuicksort","avgt",1,10,352.773052,17.882798,"ms/op",,0,1000000,
"edu.neu.coe.huskySort.sort.huskySort.AdversarialSortBenchmarks.collapsedBitsDualPivotQuicksort","avgt",1,10,30.402867,0.496371,"ms/op",,16,200000,
"edu.neu.coe.huskySort.sort.huskySort.AdversarialSortBenchmarks.collapsedBitsDualPivotQuicksort","avgt",1,10,308.090205,4.286754,"ms/op",,16,1000000,
"edu.neu.coe.huskySort.sort.huskySort.AdversarialSortBenchmarks.collapsedBitsDualPivotQuicksort","avgt",1,10,30.109007,0.253709,"ms/op",,32,200000,
"edu.neu.coe.huskySort.sort.huskySort.AdversarialSortBenchmarks.collapsedBitsDualPivotQuicksort","avgt",1,10,350.939914,18.411331,"ms/op",,32,1000000,
"edu.neu.coe.huskySort.sort.huskySort.AdversarialSortBenchmarks.collapsedBitsDualPivotQuicksort","avgt",1,10,30.759188,1.696924,"ms/op",,48,200000,
"edu.neu.coe.huskySort.sort.huskySort.AdversarialSortBenchmarks.collapsedBitsDualPivotQuicksort","avgt",1,10,346.923237,23.266234,"ms/op",,48,1000000,
"edu.neu.coe.huskySort.sort.huskySort.AdversarialSortBenchmarks.collapsedBitsDualPivotQuicksort","avgt",1,10,219.199732,0.381873,"ms/op",,56,200000,
"edu.neu.coe.huskySort.sort.huskySort.AdversarialSortBenchmarks.collapsedBitsDualPivotQuicksort","avgt",1,10,7376.410584,12.991286,"ms/op",,56,1000000,
"edu.neu.coe.huskySort.sort.huskySort.AdversarialSortBenchmarks.collapsedBitsDualPivotQuicksort","avgt",1,10,5118.611978,635.899907,"ms/op",,60,200000,
"edu.neu.coe.huskySort.sort.huskySort.AdversarialSortBenchmarks.collapsedBitsQuickHuskySort","avgt",1,10,31.167086,0.414165,"ms/op",,0,200000,
"edu.neu.coe.huskySort.sort.huskySort.AdversarialSortBenchmarks.collapsedBitsQuickHuskySort","avgt",1,10,460.150837,28.677712,"ms/op",,0,1000000,
"edu.neu.coe.huskySort.sort.huskySort.AdversarialSortBenchmarks.collapsedBitsQuickHuskySort","avgt",1,10,31.056052,0.598607,"ms/op",,16,200000,
"edu.neu.coe.huskySort.sort.huskySort.AdversarialSortBenchmarks.collapsedBitsQuickHuskySort","avgt",1,10,438.912162,18.625781,"ms/op",,16,1000000,
"edu.neu.coe.huskySort.sort.huskySort.AdversarialSortBenchmarks.collapsedBitsQuickHuskySort","avgt",1,10,30.299229,0.480889,"ms/op",,32,200000,
"edu.neu.coe.huskySort.sort.huskySort.AdversarialSortBenchmarks.collapsedBitsQuickHuskySort","avgt",1,10,463.017069,18.740904,"ms/op",,32,1000000,
"edu.neu.coe.huskySort.sort.huskySort.AdversarialSortBenchmarks.collapsedBitsQuickHuskySort","avgt",1,10,31.151187,0.408470,"ms/op",,48,200000,
"edu.neu.coe.huskySort.sort.huskySort.AdversarialSortBenchmarks.collapsedBitsQuickHuskySort","avgt",1,10,401.525400,20.923380,"ms/op",,48,1000000,
"edu.neu.coe.huskySort.sort.huskySort.AdversarialSortBenchmarks.collapsedBitsQuickHuskySort","avgt",1,10,15.264040,0.021030,"ms/op",,56,200000,
"edu.neu.coe.huskySort.sort.huskySort.AdversarialSortBenchmarks.collapsedBitsQuickHuskySort","avgt",1,10,197.898029,14.260452,"ms/op",,56,1000000,
"edu.neu.coe.huskySort.sort.huskySort.AdversarialSortBenchmarks.collapsedBitsQuickHuskySort","avgt",1,10,7.723273,0.404366,"ms/op",,60,200000,
"edu.neu.coe.huskySort.sort.huskySort.AdversarialSortBenchmarks.collapsedBitsQuickHuskySort","avgt",1,10,71.127505,1.966476,"ms/op",,60,1000000,
"edu.neu.coe.huskySort.sort.huskySort.AdversarialSortBenchmarks.collapsedBitsQuickHuskySort","avgt",1,10,1.900562,0.039965,"ms/op",,63,200000,
"edu.neu.coe.huskySort.sort.huskySort.AdversarialSortBenchmarks.collapsedBitsQuickHuskySort","avgt",1,10,15.107656,1.207367,"ms/op",,63,1000000,
"edu.neu.coe.huskySort.sort.huskySort.AdversarialSortBenchmarks.collapsedBitsRadixHuskySort11","avgt",1,10,8.918415,0.123046,"ms/op",,0,200000,
"edu.neu.coe.huskySort.sort.huskySort.AdversarialSortBenchmarks.collapsedBitsRadixHuskySort11","avgt",1,10,74.621708,6.110867,"ms/op",,0,1000000,
"edu.neu.coe.huskySort.sort.huskySort.AdversarialSortBenchmarks.collapsedBitsRadixHuskySort11","avgt",1,10,8.772479,0.330657,"ms/op",,16,200000,
"edu.neu.coe.huskySort.sort.huskySort.AdversarialSortBenchmarks.collapsedBitsRadixHuskySort11","avgt",1,10,75.775121,7.620002,"ms/op",,16,1000000,
"edu.neu.coe.huskySort.sort.huskySort.AdversarialSortBenchmarks.collapsedBitsRadixHuskySort11","avgt",1,10,9.432857,0.445743,"ms/op",,32,200000,
"edu.neu.coe.huskySort.sort.huskySort.AdversarialSortBenchmarks.collapsedBitsRadixHuskySort11","avgt",1,10,76.047077,5.715329,"ms/op",,32,1000000,
"edu.neu.coe.huskySort.sort.huskySort.AdversarialSortBenchmarks.collapsedBitsRadixHuskySort11","avgt",1,10,9.626302,0.173411,"ms/op",,48,200000,
"edu.neu.coe.huskySort.sort.huskySort.AdversarialSortBenchmarks.collapsedBitsRadixHuskySort11","avgt",1,10,76.569177,6.045195,"ms/op",,48,1000000,
"edu.neu.coe.huskySort.sort.huskySort.AdversarialSortBenchmarks.collapsedBitsRadixHuskySort11","avgt",1,10,9.533337,0.285609,"ms/op",,56,200000,
"edu.neu.coe.huskySort.sort.huskySort.AdversarialSortBenchmarks.collapsedBitsRadixHuskySort11","avgt",1,10,70.165684,5.395316,"ms/op",,56,1000000,
"edu.neu.coe.huskySort.sort.huskySort.AdversarialSortBenchmarks.collapsedBitsRadixHuskySort11","avgt",1,10,8.174645,0.089126,"ms/op",,60,200000,
"edu.neu.coe.huskySort.sort.huskySort.AdversarialSortBenchmarks.collapsedBitsRadixHuskySort11","avgt",1,10,56.633628,4.679298,"ms/op",,60,1000000,
"edu.neu.coe.huskySort.sort.huskySort.AdversarialSortBenchmarks.collapsedBitsRadixHuskySort11","avgt",1,10,6.890238,0.528780,"ms/op",,63,200000,
"edu.neu.coe.huskySort.sort.huskySort.AdversarialSortBenchmarks.collapsedBitsRadixHuskySort11","avgt",1,10,42.586244,6.596109,"ms/op",,63,1000000,
"edu.neu.coe.huskySort.sort.huskySort.AdversarialSortBenchmarks.collapsedBitsRadixHuskySort16","avgt",1,10,9.505644,0.233482,"ms/op",,0,200000,
"edu.neu.coe.huskySort.sort.huskySort.AdversarialSortBenchmarks.collapsedBitsRadixHuskySort16","avgt",1,10,75.426698,4.530759,"ms/op",,0,1000000,
"edu.neu.coe.huskySort.sort.huskySort.AdversarialSortBenchmarks.collapsedBitsRadixHuskySort16","avgt",1,10,9.017335,0.196473,"ms/op",,16,200000,
"edu.neu.coe.huskySort.sort.huskySort.AdversarialSortBenchmarks.collapsedBitsRadixHuskySort16","avgt",1,10,71.506615,4.484092,"ms/op",,16,1000000,
