Block,Lot,FiledDate
0326,023,2015-05-06
0306,007,2016-04-19
0595,203,2016-05-27
0156,011,2016-11-07
0342,001,2016-11-28
4105,009,2017-06-14
1739,020,2017-06-30
4789,014,2017-06-30
1212,054,2017-07-05
1259,016,2017-07-06
3541,001,2017-07-06
0829,021,2017-07-07
6537,023,2017-07-10
6589,002R,2017-07-25
1049,027,2017-07-26
0243,043,2017-07-27
0268,008,2017-07-27
3621,097,2017-07-27
0472,042,2017-07-28
2659,001,2017-07-28
1176,068,2017-07-31
6529,010,2017-08-01
0074,043,2017-08-01
0941,012,2017-08-07
0542,039,2017-08-08
1824,006,2017-08-16
1449,006,2017-08-18
1193,024,2017-08-21
1851,012,2017-08-21
0326,001,2017-08-22
0182,004,2017-08-23
3580,017,2017-08-23
3610,041,2017-08-23
3749,047,2017-08-24
3545,018A,2017-08-25
0749,006A,2017-08-25
6551,023,2017-08-28
6597,024,2017-08-29
1572,017,2017-08-29
0177,022,2017-09-07
0490,002,2017-09-08
1609,021F,2017-09-15
1429,010,2017-09-15
0605,028,2017-09-19
7151,014,2017-09-21
0540,002,2017-09-27
0959,029,2017-09-28
6780,034,2017-10-04
5934,020,2017-10-11
1558,009,2017-10-11
0797,022,2017-10-11
1095,005,2017-10-12
0024,011C,2017-10-13
1431,028,2017-10-17
0299,019,2017-10-17
8702,611,2017-10-24
6165,013,2017-10-30
2038A,026,2017-11-03
3763,022,2017-11-07
0640,029,2017-11-07
0991,049,2017-11-09
0249,023,2017-11-13
3590,013,2017-11-13
1252,042,2017-11-13
6969,001,2017-11-15
4024,003,2017-11-17
5666,010,2017-11-20
0912,002A,2017-11-27
1744,039,2017-11-27
2417,007,2017-11-28
0187,001,2017-11-30
0327,018,2017-12-01
1676,001H,2017-12-05
0473,007,2017-12-06
3728,008,2017-12-07
1212,070,2017-12-07
0510,013,2017-12-07
0642,087,2017-12-08
4097,045A,2017-12-08
3995,022,2017-11-28
0993,012,2017-12-11
0185,013,2017-12-18
2611,042,2017-12-19
4991,085,2017-12-20
0474,036,2017-12-22
1041,016,2017-12-22
3654,019,2017-12-26
0442A,015,2017-12-27
3542,041,2017-12-27
1419,029,2017-12-28
0719,002,2013-03-22
5900A,025,2014-07-08
3509,029,2014-08-25
1226,019,2015-01-20
3105A,005,2015-05-19
3780,001,2015-05-29
2402,033,2015-11-30
6404,017,2016-02-05
4700,043,2016-02-17
3786,322,2016-03-16
1289,020,2016-03-31
1497,016E,2016-04-06
0252,004,2016-06-16
5704,027,2016-06-24
6580,036,2016-07-27
7241,032,2016-09-09
0856,023,2016-09-14
4991,126,2016-10-07
0105,025,2016-10-17
3787,033,2016-11-23
0085,026A,2016-12-14
3794,015,2016-12-22
2679,018,2016-12-19
4272,034,2017-02-03
3555,063,2017-02-08
3707,016,2017-02-10
5853,015,2017-09-14
0181,020,2017-03-13
0175,006,2017-03-27
0327,025,2017-03-28
0320,004,2017-03-30
6654,001,2017-03-16
3635,005,2017-04-20
3738,011,2017-04-27
0328,001,2017-05-03
4150,021,2017-05-03
0534,037,2017-05-18
0252,004,2017-05-18
6509,035,2017-05-26
3537,033,2017-05-26
4015,003,2017-05-30
3044,009,2017-05-31
3708,028,2017-06-01
3606,085,2017-06-01
0696,035,2017-06-06
0295,008,2017-06-07
3521,005,2017-06-08
6562,054,2017-06-20
3629,045,2017-06-22
1859A,011A,2017-06-23
3760,131,2017-06-27
0097,018,2017-06-27
0297,028,2017-06-27
8721,032,2017-06-29
3733,161,2017-06-29
2829,023,2017-06-30
0821,073,2017-07-03
0672,002,2017-07-05
0579,002,2017-07-06
0219,024,2017-07-06
8707,072,2017-07-06
3640,058,2016-10-25
1939,002,2017-05-08
3541,083,2017-07-07
2756,024,2017-07-11
0027,036,2017-07-11
3635,014,2017-07-12
0805,007,2017-07-12
1220,011,2017-07-12
6728,005,2017-07-13
0182,004,2017-07-13
3516,018,2017-07-13
6521,030,2017-07-13
3582,085,2017-07-14
1193,048,2017-07-14
4653,020,2017-07-14
1176,004,2017-07-17
0065,026,2017-07-17
7231,001A,2017-07-18
2007,003C,2017-07-18
1418,028,2017-07-19
0947,030,2017-07-20
3603,087,2017-07-19
3525,056,2017-07-21
4217,016,2017-07-21
3577,036A,2017-07-21
3794,003,2017-07-24
5428C,004,2017-07-24
1510,031,2017-07-25
3206,027,2017-07-26
1639,033,2017-07-26
1538,022,2017-07-27
0649,016,2017-07-27
0918,003D,2017-07-27
1747,013,2017-07-27
6505,007,2017-07-27
2714,044,2017-07-28
3609,098,2017-07-31
0762,263,2017-07-31
0177,022,2017-08-01
3568,073,2017-08-01
2851,004,2017-08-01
2658,045,2017-08-01
